id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm197423,October 1,MOVIE,"Its September 1960, and with Nigeria on the verge of independence from British colonial rule, a northern Nigerian Police Detective, DAN WAZIRI, is urgently despatched by the Colonial Government to the trading post town of Akote in the Western Region of Nigeria to solve a series of female murders that have struck horror in the hearts and minds of the local community. On getting to Akote, more murders are committed, and with local tension high and volatile, Waziri has a race on his hands to solve the case before even more local women are killed. Set against the backdrop of the national celebratory mood of the impending independence, Waziri is pulled into a game of cat and mouse as he and the killer try to outwit each other...",2014,PG-13,149,"['thriller', 'crime', 'drama']",['NG'],,tt3206616,6.4,446,0.0,0.0
tm145658,The Amazing Praybeyt Benjamin,MOVIE,A soldier who once saved the entire country is assigned to guard a genius child whose intellect is needed to foil the plans of an evil villain.,2014,,105,"['drama', 'comedy', 'action', 'fantasy', 'romance']",['PH'],,tt3828220,4.0,195,0.0,0.0
ts82860,Against the Tide,SHOW,A detective and a psychologist investigating a string of murders form a crime-solving team with the novelist whose work inspired the killings.,2014,TV-14,44,['drama'],['SG'],1,tt7131682,7.6,11,0.0,0.0
tm151860,Free to Play,MOVIE,"Follow three professional video game players as they overcome personal adversity, family pressures, and the realities of life to compete in a $1,000,000 tournament that could change their lives forever.",2014,,75,"['documentation', 'action']","['US', 'CN', 'DE', 'SG', 'UA']",,tt3203290,7.6,13341,0.0,0.0
tm184511,Inkaar,MOVIE,"At a leading ad agency, the battle for the top job between Rahul Verma, the advertising CEO, and Maya Luthra, his ambitious protégée, takes an ugly turn when Maya files a sexual harassment complaint against Rahul.",2013,R,133,"['drama', 'romance', 'thriller']",['IN'],,tt2094854,6.1,2586,0.0,0.0
tm145216,Dabbe 5: Curse of the Jinn,MOVIE,"Dilek, a housewife suddenly starts to feel presence of something abnormal in a specific room in their house. Though her husband, Omer refuses to agree with her but situation become worse. They find out that, an ancient paranormal creature called Jinn, has cursed on Dilek. They seek for a way to cure her but instead they find out some shocking event of Dilek's early life.",2014,R,132,['horror'],['TR'],,tt3886722,5.9,3788,0.0,0.0
tm610571,Diamonds in the Sky,MOVIE,Survival of a 'truly independent' filmmaker far away from the industry.,2014,,132,['drama'],['IN'],,tt2338287,7.4,10,,
tm529733,Chhota Bheem and the ShiNobi Secret,MOVIE,"Prof. Dhoomketu is trying to build a new machine based on how a volcano works. Dholu and Bholu mess around which gives Kalia a new 'smoking' hairdo. As Bheem and Chutki try to restore the machine, Indumati arrives in with Bheem's Samurai friend Sam. Jack relates that his entire clan in Iga, Japan is under threat from an unseen enemy. The youngsters of his village are disappearing at an alarming rate and efforts to trace them are coming to naught. Further, their king has been threatened by the cruel Emperor Hidoi Shin. The samurai of Sam's village are loyal to the king and lead his army but the disappearance of the good fighters has now put them at a disadvantage. Sam's grandfather talks about the lurking of a secret shadow but time is running out. Bheem and gang travel to Japan with Jack to save his clan and solve the Shinobi secret.",2013,G,63,['animation'],['IN'],,tt6417830,8.6,6,,
tm169054,Bhaji in Problem,MOVIE,Sundeep leads a double life when he marries two women and keeps them from one another. His carefully planned life unravels when an old friend who knows his secret arrives looking to fall in love.,2013,,117,"['drama', 'comedy']",['IN'],,tt2879770,7.1,1021,0.0,0.0
tm154729,Dedh Ishqiya,MOVIE,A team of con men fall for a Begum and her female confidante. Does their love fructify?,2014,R,148,"['romance', 'thriller', 'comedy', 'drama']",['IN'],,tt2675978,7.0,7236,0.0,0.0
tm187505,She's The One,MOVIE,A television hosts wakes up to her true desires when his best friend's video goes viral.,2013,,110,"['romance', 'drama', 'comedy']",['PH'],,tt3264438,6.3,210,0.0,0.0
tm177645,Wedding Association,MOVIE,"Ismail's son, Tarik returns to his village after long years of being away and announces that he is engaged to a Latvian woman named Nugesha and although he doesn't have the means for it, Ismail still wants to be the one who pays for the expenses of the wedding. Several problems ensue as he tries to make sure that there is enough money for the wedding.",2013,PG-13,106,['comedy'],['XX'],,tt3347976,7.0,22458,0.0,0.0
tm182580,Ghadi,MOVIE,"Leba is a music instructor who lives in a small Lebanese town. Social pressure leads him to get married and have children. Lara, his beloved wife, births a girl, later other one and finally Ghadi, a boy with special needs related with Down Syndrome. Ghadi could have been a burden, but he is a cause of pride and joy for all of them —but a test too that proves the intolerance of other people.",2013,PG-13,100,"['drama', 'family', 'comedy']",['LB'],,tt2552296,7.3,1128,0.0,0.0
tm152843,Swearnet: The Movie,MOVIE,"Fed up with being censored in their post-Trailer Park Boys lives, the out of work stars/world-renowned 'swearists', Mike Smith, Robb Wells and John Paul Tremblay decide to start their own uncensored network on the internet.",2014,R,112,['comedy'],['CA'],,tt2380564,6.0,2769,0.0,0.0
tm147405,E-Team,MOVIE,"E-Team is driven by the high-stakes investigative work of four intrepid human rights workers, offering a rare look at their lives at home and their dramatic work in the field.",2014,,88,"['documentation', 'war']",['US'],,tt3456090,7.1,873,0.0,0.0
tm185736,SampleThis,MOVIE,"A documentary that reveals how a forgotten record by the Incredible Bongo Band helped cement the foundation of hip hop when DJ Herc extended its percussion by playing them back to back, creating an anthem on the streets of the Bronx.",2013,,85,"['documentation', 'music']",['US'],,tt2407418,6.4,471,0.0,0.0
tm587320,El Mago Pop,MOVIE,"Antonio Diaz is a young and talented magician who uses magic to test the six degrees of separation theory, meeting celebrities and anonymous people along the way.",2013,,44,"['reality', 'european']",['ES'],,tt3355166,6.8,21,,
tm183805,Ghanchakkar,MOVIE,A safe cracker claims he has lost his memory when two criminals come calling for their cut of the bank heist loot.,2013,PG,137,"['thriller', 'comedy', 'crime']",['IN'],,tt2246724,5.8,5052,0.0,0.0
tm132675,100 Things to Do Before High School,MOVIE,"With the pressures of high school in their near future, CJ and her two best friends decide to embark on a series of middle school adventures while they can still take risks and have fun.",2014,,44,[],['US'],,,,,0.0,
tm323262,Seven Souls in the Skull Castle,MOVIE,"After the demise of warlord Nobunaga ODA, Japan was about to be unified by Hideyoshi TOYOTOMI. However, there was one man in Kanto region that was defiant to it. That man, who named himself TenmaOh (Mirai MORIYAMA) and leads the KANTO DOKURO-TO, an armed group hiding in the pitch-black DOKURO-JO (skull castle), once worked for NOBUNAGA. Sutenosuke (Shun OGURI) happens to rescue a woman who has been chased by the KANTO DOKURO-TO, which was headed by the bloodthirsty madman TenmaOh.",2013,,179,"['drama', 'action', 'romance']",['JP'],,tt4576040,7.3,49,0.0,
